Fecha,Productos,Unidad de medida (Mayorista),Equiv. (kg./lt) (Mayorista),Mayorista - Precio Min.,Mayorista - Precio Prom.,Mayorista - Precio Max.,Unidad de medida (Minorista),Equiv. (kg./lt) (Minorista),Minorista - Precio Min.,Minorista - Precio Prom.,Minorista - Precio Max.
13/06/2026 18:22:13,Papa,Saco,50.0,1.35,1.42,1.49,Kilogramo,1.0,2.38,2.5,2.62
13/06/2026 18:23:25,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.43,4.66,4.89
13/06/2026 18:26:06,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.59,2.73,2.87
14/06/2026 06:08:18,Zanahoria,Saco,50.0,2.18,2.3,2.42,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 06:10:49,Choclo,Ciento,40.0,3.29,3.46,3.63,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 06:20:19,Papa,Saco,50.0,1.37,1.44,1.51,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 06:23:23,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.61,2.75,2.89
14/06/2026 06:29:55,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.56,2.69,2.82
14/06/2026 06:34:42,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.75,2.9,3.04
14/06/2026 06:36:49,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.26,4.48,4.7
14/06/2026 06:37:38,Papa,Saco,50.0,1.48,1.56,1.64,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 06:41:31,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.88,3.03,3.18
14/06/2026 06:47:03,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.66,3.85,4.04
14/06/2026 06:47:21,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.98,4.19,4.4
14/06/2026 06:47:56,Tomate,Cajón,20.0,2.94,3.1,3.26,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 06:58:07,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.09,3.25,3.41
14/06/2026 07:02:06,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.34,3.52,3.7
14/06/2026 07:07:46,Papa,Saco,50.0,1.63,1.72,1.81,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 07:09:26,Tomate,Cajón,20.0,2.86,3.01,3.16,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 07:18:26,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.99,5.25,5.51
14/06/2026 07:24:15,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.61,4.85,5.09
14/06/2026 07:24:55,Zanahoria,Saco,50.0,2.24,2.36,2.48,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 07:32:54,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.48,2.61,2.74
14/06/2026 07:37:01,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.12,3.28,3.44
14/06/2026 07:41:47,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.9,4.11,4.32
14/06/2026 07:51:29,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.54,3.73,3.92
14/06/2026 07:52:33,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.55,2.68,2.81
14/06/2026 07:58:46,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.45,4.68,4.91
14/06/2026 07:59:34,Tomate,Cajón,20.0,2.37,2.49,2.61,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 08:03:34,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.66,4.91,5.16
14/06/2026 08:04:29,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.76,3.96,4.16
14/06/2026 08:06:16,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.96,3.12,3.28
14/06/2026 08:15:06,Papa,Saco,50.0,1.48,1.56,1.64,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 08:26:39,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.96,4.17,4.38
14/06/2026 08:28:20,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.62,2.76,2.9
14/06/2026 08:33:29,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.83,2.98,3.13
14/06/2026 08:33:39,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.63,2.77,2.91
14/06/2026 08:35:33,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.45,2.58,2.71
14/06/2026 08:41:27,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.18,3.35,3.52
14/06/2026 08:42:28,Zanahoria,Saco,50.0,2.03,2.14,2.25,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 08:46:31,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.65,4.89,5.13
14/06/2026 08:47:54,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.22,4.44,4.66
14/06/2026 08:48:24,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.1,4.32,4.54
14/06/2026 08:57:11,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.85,4.05,4.25
14/06/2026 08:59:49,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.3,4.53,4.76
14/06/2026 09:03:11,Tomate,Cajón,20.0,2.63,2.77,2.91,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 09:10:12,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.96,5.22,5.48
14/06/2026 09:12:29,Cebolla,Saco,45.0,1.52,1.6,1.68,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 09:16:26,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.21,4.43,4.65
14/06/2026 09:17:50,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.38,2.51,2.64
14/06/2026 09:18:34,Cebolla,Saco,45.0,1.83,1.93,2.03,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 09:18:37,Choclo,Ciento,40.0,3.06,3.22,3.38,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 09:27:21,Zanahoria,Saco,50.0,2.23,2.35,2.47,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 09:34:01,Zanahoria,Saco,50.0,2.26,2.38,2.5,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 09:34:04,Papa,Saco,50.0,1.36,1.43,1.5,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 09:36:50,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.09,4.31,4.53
14/06/2026 09:43:25,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.27,4.49,4.71
14/06/2026 09:43:42,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.16,3.33,3.5
14/06/2026 09:46:35,Zanahoria,Saco,50.0,2.34,2.46,2.58,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 09:47:02,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.1,3.26,3.42
14/06/2026 09:50:34,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.42,4.65,4.88
14/06/2026 09:52:54,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.64,3.83,4.02
14/06/2026 09:53:12,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.77,2.92,3.07
14/06/2026 09:53:49,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.09,3.25,3.41
14/06/2026 09:58:31,Zanahoria,Saco,50.0,2.1,2.21,2.32,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 10:04:09,Choclo,Ciento,40.0,3.23,3.4,3.57,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 10:05:11,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.19,4.41,4.63
14/06/2026 10:07:29,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.46,4.7,4.94
14/06/2026 10:10:18,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.47,4.71,4.95
14/06/2026 10:10:25,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.91,5.17,5.43
14/06/2026 10:10:35,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.14,3.31,3.48
14/06/2026 10:25:31,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.25,3.42,3.59
14/06/2026 10:29:33,Papa,Saco,50.0,1.69,1.78,1.87,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 10:35:47,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.98,3.14,3.3
14/06/2026 10:39:53,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.99,3.15,3.31
14/06/2026 10:40:12,Tomate,Cajón,20.0,2.75,2.9,3.04,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 10:48:53,Cebolla,Saco,45.0,1.8,1.9,1.99,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 10:54:23,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.7,4.95,5.2
14/06/2026 10:58:26,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.59,3.78,3.97
14/06/2026 11:01:24,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.37,4.6,4.83
14/06/2026 11:08:20,Choclo,Ciento,40.0,2.75,2.89,3.03,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 11:13:15,Zanahoria,Saco,50.0,2.34,2.46,2.58,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 11:16:38,Papa,Saco,50.0,1.36,1.43,1.5,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 11:21:15,Papa,Saco,50.0,1.4,1.47,1.54,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 11:25:52,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.26,2.38,2.5
14/06/2026 11:26:05,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.21,5.48,5.75
14/06/2026 11:26:31,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.96,4.17,4.38
14/06/2026 11:28:49,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.13,2.24,2.35
14/06/2026 11:36:29,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.63,4.87,5.11
14/06/2026 11:42:48,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.35,2.47,2.59
14/06/2026 11:48:39,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.34,2.46,2.58
14/06/2026 11:55:44,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.64,2.78,2.92
14/06/2026 12:00:36,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.29,4.52,4.75
14/06/2026 12:03:33,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.34,2.46,2.58
14/06/2026 12:03:34,Cebolla,Saco,45.0,1.63,1.72,1.81,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 12:04:15,Tomate,Cajón,20.0,2.81,2.96,3.11,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 12:04:17,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.36,2.48,2.6
14/06/2026 12:11:37,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.4,2.53,2.66
14/06/2026 12:18:24,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.34,2.46,2.58
14/06/2026 12:19:28,Papa,Saco,50.0,1.34,1.41,1.48,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 12:24:26,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.65,4.89,5.13
14/06/2026 12:26:30,Cebolla,Saco,45.0,1.52,1.6,1.68,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 12:29:14,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.38,2.51,2.64
14/06/2026 12:29:59,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.31,5.59,5.87
14/06/2026 12:34:44,Tomate,Cajón,20.0,2.89,3.04,3.19,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 12:37:07,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.53,2.66,2.79
14/06/2026 12:37:30,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.08,4.3,4.51
14/06/2026 12:37:48,Zanahoria,Saco,50.0,2.14,2.25,2.36,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 12:40:52,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.42,3.6,3.78
14/06/2026 12:55:53,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.44,2.57,2.7
14/06/2026 12:57:59,Choclo,Ciento,40.0,2.92,3.07,3.22,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 12:59:59,Tomate,Cajón,20.0,2.72,2.86,3.0,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 13:00:56,Tomate,Cajón,20.0,2.79,2.94,3.09,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 13:04:47,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.39,4.62,4.85
14/06/2026 13:05:10,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.68,4.93,5.18
14/06/2026 13:12:58,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.28,3.45,3.62
14/06/2026 13:21:43,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.66,4.9,5.15
14/06/2026 13:24:10,Papa,Saco,50.0,1.69,1.78,1.87,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 13:26:53,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.62,2.76,2.9
14/06/2026 13:29:09,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.16,2.27,2.38
14/06/2026 13:46:32,Zanahoria,Saco,50.0,1.86,1.96,2.06,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 13:47:11,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.13,2.24,2.35
14/06/2026 13:49:14,Choclo,Ciento,40.0,2.99,3.15,3.31,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 14:11:15,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.79,2.94,3.09
14/06/2026 14:12:38,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.03,3.19,3.35
14/06/2026 14:20:07,Zanahoria,Saco,50.0,2.29,2.41,2.53,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 14:27:49,Papa,Saco,50.0,1.56,1.64,1.72,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 14:45:55,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.54,2.67,2.8
14/06/2026 15:10:16,Zanahoria,Saco,50.0,1.96,2.06,2.16,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 15:13:25,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.87,5.13,5.39
14/06/2026 15:17:04,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.68,2.82,2.96
14/06/2026 15:17:05,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.34,4.57,4.8
14/06/2026 15:17:52,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.54,2.67,2.8
14/06/2026 15:25:07,Papa,Saco,50.0,1.68,1.77,1.86,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 15:30:34,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.47,4.71,4.95
14/06/2026 15:30:52,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.05,5.32,5.59
14/06/2026 15:39:35,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.32,4.55,4.78
14/06/2026 15:45:55,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.63,2.77,2.91
14/06/2026 16:00:45,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.89,4.09,4.29
14/06/2026 16:02:05,Zanahoria,Saco,50.0,1.87,1.97,2.07,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 16:07:16,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.53,3.72,3.91
14/06/2026 16:09:08,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.58,2.72,2.86
14/06/2026 16:14:34,Papa,Saco,50.0,1.4,1.47,1.54,Kilogramo,1.0,2.38,2.5,2.62
14/06/2026 16:16:09,Tomate,Cajón,20.0,2.96,3.12,3.28,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 16:19:15,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.46,2.59,2.72
14/06/2026 16:25:16,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.16,5.43,5.7
14/06/2026 16:25:25,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.21,4.43,4.65
14/06/2026 16:26:01,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.59,2.73,2.87
14/06/2026 16:30:06,Cebolla,Saco,45.0,1.67,1.76,1.85,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 16:34:43,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.38,2.51,2.64
14/06/2026 16:34:46,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.41,3.59,3.77
14/06/2026 16:36:46,Choclo,Ciento,40.0,3.24,3.41,3.58,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 16:38:28,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.1,3.26,3.42
14/06/2026 16:39:10,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.73,4.98,5.23
14/06/2026 16:39:36,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,5.1,5.37,5.64
14/06/2026 16:39:39,Choclo,Ciento,40.0,2.68,2.82,2.96,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 16:39:50,Tomate,Cajón,20.0,2.97,3.13,3.29,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 16:40:28,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.41,3.59,3.77
14/06/2026 16:47:51,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.87,4.07,4.27
14/06/2026 16:59:12,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.4,3.58,3.76
14/06/2026 17:00:48,Choclo,Ciento,40.0,2.94,3.09,3.24,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 17:02:30,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.76,5.01,5.26
14/06/2026 17:04:34,Choclo,Ciento,40.0,3.04,3.2,3.36,Kilogramo,1.0,4.6,4.84,5.08
14/06/2026 17:04:37,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.38,2.51,2.64
14/06/2026 17:09:30,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.37,2.49,2.61
14/06/2026 17:11:07,Choclo,Ciento,40.0,3.17,3.34,3.51,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 17:14:15,Cebolla,Saco,45.0,1.8,1.89,1.98,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 17:18:51,Choclo,Ciento,40.0,3.27,3.44,3.61,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 17:19:58,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,3.78,3.98,4.18
14/06/2026 17:22:28,Choclo,Ciento,40.0,3.02,3.18,3.34,Kilogramo,1.0,4.75,5.0,5.25
14/06/2026 17:25:49,Cebolla,Saco,45.0,1.6,1.68,1.76,Kilogramo,1.0,2.85,3.0,3.15
14/06/2026 17:27:48,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,2.52,2.65,2.78
14/06/2026 17:39:45,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.3,3.47,3.64
14/06/2026 17:40:00,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.9,4.11,4.32
14/06/2026 17:41:13,Tomate,Cajón,20.0,2.66,2.8,2.94,Kilogramo,1.0,4.06,4.27,4.48
14/06/2026 17:42:17,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.25,2.37,2.49
14/06/2026 17:56:25,Papa,Saco,50.0,1.52,1.6,1.68,Kilogramo,1.0,2.14,2.25,2.36
14/06/2026 17:57:30,Cebolla,Saco,45.0,1.71,1.8,1.89,Kilogramo,1.0,3.11,3.27,3.43
14/06/2026 18:04:17,Tomate,Cajón,20.0,2.53,2.66,2.79,Kilogramo,1.0,4.27,4.5,4.73
14/06/2026 18:04:43,Zanahoria,Saco,50.0,1.94,2.04,2.14,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 18:08:12,Zanahoria,Saco,50.0,1.95,2.05,2.15,Kilogramo,1.0,3.61,3.8,3.99
14/06/2026 18:08:47,Zanahoria,Saco,50.0,2.09,2.2,2.31,Kilogramo,1.0,3.8,4.0,4.2
